Latitude,Longitude,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinst,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_bitmask,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_ContinuousLayer,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_ContinuousLayer_Description
31.7365,-109.9419,2019-10-05 19:51:04 UTC,07085,001,0601,True,249.9078064,70.2557526,0b00000000000000000000000001000110,0b0,Continuous
31.7365,-109.9419,2019-10-09 18:13:47 UTC,07146,001,0601,True,230.3747406,54.3320732,0b00000000000000000000000000110110,0b0,Continuous
31.7365,-109.9419,2019-10-17 23:08:20 UTC,07273,015,0601,True,71.8159866,46.6738739,0b00000000000000000000000000101110,0b0,Continuous
31.7365,-109.9419,2019-10-20 14:09:24 UTC,07314,001,0601,True,37.1390724,22.209795,0b00000000000000000000000000010110,0b0,Continuous
31.7365,-109.9419,2019-10-21 21:30:47 UTC,07334,014,0601,True,122.9040833,32.4827118,0b00000000000000000000000000100000,0b0,Continuous
31.7365,-109.9419,2019-10-25 19:53:07 UTC,07395,014,0601,True,129.1943512,27.7684517,0b00000000000000000000000000011011,0b0,Continuous
31.7365,-109.9419,2019-10-29 18:15:23 UTC,07456,014,0601,True,87.6954575,21.5785732,0b00000000000000000000000000010101,0b0,Continuous
31.7365,-109.9419,2019-11-01 17:26:01 UTC,07502,013,0601,True,90.5213623,13.7327261,0b00000000000000000000000000001101,0b0,Continuous
31.7365,-109.9419,2019-11-05 15:48:07 UTC,07563,014,0601,True,86.2227554,32.6151466,0b00000000000000000000000000100000,0b0,Continuous
31.7365,-109.9419,2019-11-09 14:11:17 UTC,07624,015,0601,True,56.6459045,22.6571522,0b00000000000000000000000000010110,0b0,Continuous
31.7365,-109.9419,2019-12-01 21:08:54 UTC,07970,001,0601,True,80.4508209,21.3301201,0b00000000000000000000000000010101,0b0,Continuous
31.7365,-109.9419,2019-12-05 19:31:55 UTC,08031,001,0601,True,183.2025604,78.1613541,0b00000000000000000000000001001110,0b0,Continuous
31.7365,-109.9419,2019-12-09 17:54:53 UTC,08092,001,0601,True,151.6546478,60.027359,0b00000000000000000000000000111100,0b0,Continuous
31.7365,-109.9419,2019-12-12 17:05:38 UTC,08138,001,0601,True,114.3719406,48.7611694,0b00000000000000000000000000110000,0b0,Continuous
31.7365,-109.9419,2019-12-17 22:49:39 UTC,08219,012,0601,True,32.7253494,10.1671972,0b00000000000000000000000000001010,0b0,Continuous
31.7365,-109.9419,2020-01-01 17:12:04 UTC,08448,014,0601,True,100.0699768,50.8397675,0b00000000000000000000000000110010,0b0,Continuous
31.7365,-109.9419,2020-01-05 15:36:49 UTC,08509,011,0601,True,64.3570709,35.150589,0b00000000000000000000000000100011,0b0,Continuous
31.7365,-109.9419,2020-01-24 00:20:02 UTC,08794,001,0601,True,20.0220642,6.9201097,0b00000000000000000000000000000110,0b0,Continuous
31.7365,-109.9419,2020-01-27 22:46:51 UTC,08855,001,0601,True,36.1798134,11.0117426,0b00000000000000000000000000001011,0b0,Continuous
31.7365,-109.9419,2020-01-31 21:13:25 UTC,08916,001,0601,True,49.4567223,20.8070679,0b00000000000000000000000000010100,0b0,Continuous
31.7365,-109.9419,2020-02-08 18:06:24 UTC,09038,001,0601,True,103.3438416,108.955864,0b00000000000000000000000001101100,0b0,Continuous
31.7365,-109.9419,2020-02-13 23:55:16 UTC,09119,012,0601,True,18.6502247,67.1629562,0b00000000000000000000000001000011,0b0,Continuous
31.7365,-109.9419,2020-02-25 19:14:05 UTC,09302,010,0601,True,76.6716843,53.0859642,0b00000000000000000000000000110101,0b0,Continuous
31.7365,-109.9419,2020-03-30 21:50:45 UTC,09831,001,0601,True,74.7340851,30.819067,0b00000000000000000000000000011110,0b0,Continuous
31.7365,-109.9419,2020-04-07 18:46:41 UTC,09953,001,0601,True,103.3115311,43.6870956,0b00000000000000000000000000101011,0b0,Continuous
31.7365,-109.9419,2020-04-11 17:14:50 UTC,10014,001,0601,True,126.3555298,54.2775383,0b00000000000000000000000000110110,0b0,Continuous
31.7365,-109.9419,2020-04-15 15:42:56 UTC,10075,001,0601,True,142.7691803,,,,
31.7365,-109.9419,2020-04-20 13:23:51 UTC,10151,002,0601,True,58.0558624,23.8435459,0b00000000000000000000000000010111,0b0,Continuous
31.7365,-109.9419,2020-04-20 21:33:22 UTC,10156,016,0601,True,64.7230377,17.1390934,0b00000000000000000000000000010001,0b0,Continuous
31.7365,-109.9419,2020-04-28 18:25:03 UTC,10278,014,0601,True,116.7769318,22.7593803,0b00000000000000000000000000010110,0b0,Continuous
31.7365,-109.9419,2020-05-06 15:16:26 UTC,10400,013,0601,True,70.9132385,13.052247,0b00000000000000000000000000001101,0b0,Continuous
31.7365,-109.9419,2020-05-21 01:36:48 UTC,10624,001,0601,True,32.9073372,26.1867828,0b00000000000000000000000000011010,0b0,Continuous
31.7365,-109.9419,2020-05-25 00:02:21 UTC,10685,001,0601,True,81.8115692,65.4757996,0b00000000000000000000000001000001,0b0,Continuous
31.7365,-109.9419,2020-05-28 22:27:53 UTC,10746,001,0601,True,135.553421,44.9958801,0b00000000000000000000000000101100,0b0,Continuous
31.7365,-109.9419,2020-06-09 17:44:28 UTC,10929,001,0601,True,115.0919037,16.747448,0b00000000000000000000000000010000,0b0,Continuous
31.7365,-109.9419,2020-06-10 01:53:47 UTC,10934,015,0601,True,24.1176319,24.5834732,0b00000000000000000000000000011000,0b0,Continuous
31.7365,-109.9419,2020-06-13 16:09:50 UTC,10990,001,0601,True,110.3070908,20.6843376,0b00000000000000000000000000010100,0b0,Continuous
31.7365,-109.9419,2020-06-17 14:35:12 UTC,11051,001,0601,True,82.7939072,20.7512074,0b00000000000000000000000000010100,0b0,Continuous
31.7365,-109.9419,2020-06-17 22:44:21 UTC,11056,009,0601,True,114.5154266,78.5982437,0b00000000000000000000000001001110,0b0,Continuous
31.7365,-109.9419,2020-06-21 13:00:35 UTC,11112,001,0601,True,46.5303535,14.4703741,0b00000000000000000000000000001110,0b0,Continuous
31.7365,-109.9419,2020-06-21 21:10:13 UTC,11117,009,0601,True,143.0323029,57.8665657,0b00000000000000000000000000111001,0b0,Continuous
31.7365,-109.9419,2020-06-25 19:35:33 UTC,11178,015,0601,True,142.5015717,22.096571,0b00000000000000000000000000010110,0b0,Continuous
31.7365,-109.9419,2020-07-29 22:02:07 UTC,11707,001,0601,True,154.3536682,26.8611813,0b00000000000000000000000000011010,0b0,Continuous
31.7365,-109.9419,2020-08-06 18:55:24 UTC,11829,003,0601,True,144.2459869,35.2548523,0b00000000000000000000000000100011,0b0,Continuous
31.7365,-109.9419,2020-08-10 17:21:50 UTC,11890,003,0601,True,208.7509918,75.7653961,0b00000000000000000000000001001011,0b0,Continuous
31.7365,-109.9419,2020-08-18 14:14:37 UTC,12012,004,0601,True,97.2594299,23.6902218,0b00000000000000000000000000010111,0b0,Continuous
31.7365,-109.9419,2020-08-19 21:37:14 UTC,12032,013,0601,True,101.7189865,19.7901897,0b00000000000000000000000000010011,0b0,Continuous
31.7365,-109.9419,2020-08-27 18:29:54 UTC,12154,013,0601,True,110.4238358,12.9090118,0b00000000000000000000000000001100,0b0,Continuous
31.7365,-109.9419,2020-09-26 22:42:08 UTC,12622,004,0601,True,14.0787611,153.297821,0b00000000000000000000000010011001,0b0,Continuous
31.7365,-109.9419,2020-09-27 21:54:32 UTC,12637,003,0601,True,52.7119598,37.9045181,0b00000000000000000000000000100101,0b0,Continuous
31.7365,-109.9419,2020-09-30 21:10:05 UTC,12683,004,0601,True,59.2848778,20.5899258,0b00000000000000000000000000010100,0b0,Continuous
31.7365,-109.9419,2020-10-01 20:23:04 UTC,12698,003,0601,True,57.5385895,9.3752546,0b00000000000000000000000000001001,0b0,Continuous
