Latitude,Longitude,Date,Orbit Number,Scene ID,Build ID,Orbit Correction Performed,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinst,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_bitmask,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_ContinuousLayer,ECO3ETPTJPL_001_EVAPOTRANSPIRATION_PT_JPL_ETinstUncertainty_ContinuousLayer_Description
46.7518,-117.1285,2019-08-20 16:14:44 UTC,06369,003,0601,True,146.0012207,55.1864738,0b00000000000000000000000000110111,0b0,Continuous
46.7518,-117.1285,2019-08-23 15:24:34 UTC,06415,004,0600,True,176.3378754,33.4582443,0b00000000000000000000000000100001,0b0,Continuous
46.7518,-117.1285,2019-09-02 15:21:53 UTC,06570,001,0601,True,135.612381,64.9569473,0b00000000000000000000000001000000,0b0,Continuous
46.7518,-117.1285,2019-10-14 19:01:53 UTC,07224,002,0601,True,190.1252289,77.8448105,0b00000000000000000000000001001101,0b0,Continuous
46.7518,-117.1285,2020-04-09 20:26:57 UTC,09985,002,0601,True,234.1519623,98.5678024,0b00000000000000000000000001100010,0b0,Continuous
46.7518,-117.1285,2020-04-17 17:23:24 UTC,10107,005,0601,True,148.2466888,58.6779823,0b00000000000000000000000000111010,0b0,Continuous
46.7518,-117.1285,2020-04-21 15:50:13 UTC,10168,005,0601,True,99.0015335,46.8898888,0b00000000000000000000000000101110,0b0,Continuous
46.7518,-117.1285,2020-05-31 23:19:32 UTC,10793,003,0601,True,96.1158447,5.6094313,0b00000000000000000000000000000101,0b0,Continuous
46.7518,-117.1285,2020-06-04 21:44:48 UTC,10854,003,0601,True,177.1248474,163.9556885,0b00000000000000000000000010100011,0b0,Continuous
46.7518,-117.1285,2020-06-23 14:39:39 UTC,11144,003,0601,True,200.2608643,64.895813,0b00000000000000000000000001000000,0b0,Continuous
46.7518,-117.1285,2020-06-27 13:04:58 UTC,11205,003,0601,True,113.1336136,60.0095749,0b00000000000000000000000000111100,0b0,Continuous
46.7518,-117.1285,2020-07-28 01:15:43 UTC,11678,002,0601,True,30.3279037,66.5707626,0b00000000000000000000000001000010,0b0,Continuous
46.7518,-117.1285,2020-07-29 00:28:22 UTC,11693,004,0601,True,37.5557251,69.0810776,0b00000000000000000000000001000101,0b0,Continuous
46.7518,-117.1285,2020-07-31 23:41:43 UTC,11739,005,0601,True,24.4023819,78.531723,0b00000000000000000000000001001110,0b0,Continuous
46.7518,-117.1285,2020-08-04 22:08:19 UTC,11800,002,0601,True,44.5390968,45.6088829,0b00000000000000000000000000101101,0b0,Continuous
46.7518,-117.1285,2020-08-05 21:21:21 UTC,11815,005,0601,True,46.9870834,48.6435204,0b00000000000000000000000000110000,0b0,Continuous
46.7518,-117.1285,2020-08-08 20:35:01 UTC,11861,005,0601,True,104.294899,39.2780914,0b00000000000000000000000000100111,0b0,Continuous
46.7518,-117.1285,2020-08-09 19:47:42 UTC,11876,006,0601,True,105.052887,27.928566,0b00000000000000000000000000011011,0b0,Continuous
46.7518,-117.1285,2020-08-14 22:17:20 UTC,11955,003,0601,True,56.9709053,33.6366158,0b00000000000000000000000000100001,0b0,Continuous
46.7518,-117.1285,2020-08-16 17:27:50 UTC,11983,006,0601,True,174.3199768,54.1150055,0b00000000000000000000000000110110,0b0,Continuous
46.7518,-117.1285,2020-08-21 15:06:43 UTC,12059,005,0601,True,161.2595673,53.2430305,0b00000000000000000000000000110101,0b0,Continuous
46.7518,-117.1285,2020-09-06 13:43:26 UTC,12306,002,0601,True,79.287796,31.6360931,0b00000000000000000000000000011111,0b0,Continuous
46.7518,-117.1285,2020-09-29 00:22:42 UTC,12654,007,0601,True,42.8518181,11.3200779,0b00000000000000000000000000001011,0b0,Continuous
46.7518,-117.1285,2020-09-29 23:34:57 UTC,12669,007,0601,True,49.4436455,5.6437154,0b00000000000000000000000000000101,0b0,Continuous
46.7518,-117.1285,2020-10-03 22:03:02 UTC,12730,006,0601,True,71.7991257,16.3571949,0b00000000000000000000000000010000,0b0,Continuous
46.7518,-117.1285,2020-10-07 20:30:23 UTC,12791,004,0601,True,95.1803207,36.7774544,0b00000000000000000000000000100100,0b0,Continuous
46.7518,-117.1285,2020-10-09 23:46:10 UTC,12824,004,0601,True,42.4405022,14.3418608,0b00000000000000000000000000001110,0b0,Continuous
46.7518,-117.1285,2021-03-03 14:51:40 UTC,15066,007,0601,True,20.8373642,34.7582321,0b00000000000000000000000000100010,0b0,Continuous
46.7518,-117.1285,2021-04-06 20:53:10 UTC,15599,006,0601,True,170.9113159,66.1857147,0b00000000000000000000000001000010,0b0,Continuous
46.7518,-117.1285,2021-04-09 20:07:43 UTC,15645,002,0601,True,203.2134247,64.5398941,0b00000000000000000000000001000000,0b0,Continuous
46.7518,-117.1285,2021-04-13 18:35:13 UTC,15706,005,0601,True,141.9848938,68.3660812,0b00000000000000000000000001000100,0b0,Continuous
46.7518,-117.1285,2021-04-14 17:48:10 UTC,15721,006,0601,True,175.5544891,66.5991669,0b00000000000000000000000001000010,0b0,Continuous
46.7518,-117.1285,2021-04-18 16:15:37 UTC,15782,006,0601,True,135.1321106,64.3541183,0b00000000000000000000000001000000,0b0,Continuous
46.7518,-117.1285,2021-05-05 14:08:35 UTC,16044,008,0601,True,85.2914658,20.3390217,0b00000000000000000000000000010100,0b0,Continuous
46.7551,-117.1261,2018-08-03 23:49:01 UTC,00438,005,0601,True,20.3362083,87.6205292,0b00000000000000000000000001010111,0b0,Continuous
